Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
15-05-2026,22:51,15-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 4 EUR,,,,EUR,"5107,73",
15-05-2026,22:51,15-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"4,00",EUR,"5111,73",
15-05-2026,21:48,15-05-2026,ARISTA NETWORKS INC,US0404132054,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5107,73",c517d885-aead-4688-b821-fdacaeda58d9
15-05-2026,21:48,15-05-2026,ARISTA NETWORKS INC,US0404132054,"Koop 8 @ 142,36 USD",,USD,"-1138,88",USD,"6801,19",c517d885-aead-4688-b821-fdacaeda58d9
15-05-2026,21:45,15-05-2026,SHOPIFY INC CLASS A,CA82509L1076,"Verkoop 17 @ 100,2 USD",,USD,"1703,40",USD,"7940,07",cd0a0e8f-502c-4124-964c-8035f132e3fc
15-05-2026,21:44,15-05-2026,SHOPIFY INC CLASS A,CA82509L1076,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5109,73",cd0a0e8f-502c-4124-964c-8035f132e3fc
15-05-2026,21:44,15-05-2026,SHOPIFY INC CLASS A,CA82509L1076,"Verkoop 16 @ 100,2 USD",,USD,"1603,20",USD,"6236,67",cd0a0e8f-502c-4124-964c-8035f132e3fc
13-05-2026,22:50,13-05-2026,,,Degiro Cash Sweep Transfer,,USD,"-1696,10",USD,"4633,47",
13-05-2026,22:50,13-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1.696,1 USD",,,,USD,"6329,57",
13-05-2026,22:50,13-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"5111,73",
13-05-2026,22:50,13-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"5109,73",
13-05-2026,21:16,13-05-2026,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"5111,73",e0da97b5-0f83-4726-9cd3-e16f90134fe5
13-05-2026,21:16,13-05-2026,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 70 @ 24,23 USD",,USD,"1696,10",USD,"4633,47",e0da97b5-0f83-4726-9cd3-e16f90134fe5
13-05-2026,14:20,13-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"1745,94",EUR,"5113,73",
13-05-2026,14:20,13-05-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.745,94 EUR",,,,EUR,"3367,79",
13-05-2026,13:31,13-05-2026,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"5113,73",39d082ee-4ec3-4bc4-a327-023bd9718cfb
13-05-2026,13:31,13-05-2026,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,"Koop 20 @ 89,22 EUR",,EUR,"-1784,40",EUR,"5116,73",39d082ee-4ec3-4bc4-a327-023bd9718cfb
13-05-2026,13:30,13-05-2026,VANECK URANIUM AND NUCLEAR,IE000M7V94E1,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"6901,13",32f85652-1ebb-41c3-9050-32f6c5e454d7
13-05-2026,13:30,13-05-2026,VANECK URANIUM AND NUCLEAR,IE000M7V94E1,"Verkoop 37 @ 53,86 EUR",,EUR,"1992,82",EUR,"6902,13",32f85652-1ebb-41c3-9050-32f6c5e454d7
13-05-2026,13:25,13-05-2026,SIEMENS ENERGY AG,DE000ENER6Y0,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-4,90",EUR,"4909,31",d7292721-54b6-4eda-86dd-944927e4666a
13-05-2026,13:25,13-05-2026,SIEMENS ENERGY AG,DE000ENER6Y0,"Koop 11 @ 176,86 EUR",,EUR,"-1945,46",EUR,"4914,21",d7292721-54b6-4eda-86dd-944927e4666a
11-05-2026,22:51,11-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"6,00",EUR,"6859,67",
11-05-2026,22:51,11-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 6 EUR,,,,EUR,"6853,67",
11-05-2026,22:50,11-05-2026,,,Degiro Cash Sweep Transfer,,USD,"3574,00",USD,"2937,37",
11-05-2026,22:50,11-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 3.574 USD,,,,USD,"-636,63",
11-05-2026,21:21,11-05-2026,COREWEAVE INC CLASS A,US21873S1087,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"6859,67",3708f6fc-e31d-464e-82ff-3fcb79491cfa
11-05-2026,21:21,11-05-2026,COREWEAVE INC CLASS A,US21873S1087,Koop 9 @ 114 USD,,USD,"-1026,00",USD,"2937,37",3708f6fc-e31d-464e-82ff-3fcb79491cfa
11-05-2026,21:21,11-05-2026,COREWEAVE INC CLASS A,US21873S1087,Koop 1 @ 114 USD,,USD,"-114,00",USD,"3963,37",3708f6fc-e31d-464e-82ff-3fcb79491cfa
11-05-2026,21:21,11-05-2026,ARISTA NETWORKS INC,US0404132054,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"6861,67",6f43a894-ab49-402d-81bb-6cc755b3ae19
11-05-2026,21:21,11-05-2026,ARISTA NETWORKS INC,US0404132054,Koop 10 @ 137 USD,,USD,"-1370,00",USD,"4077,37",6f43a894-ab49-402d-81bb-6cc755b3ae19
11-05-2026,21:18,11-05-2026,LIMBACH HOLDINGS INC,US53263P1057,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"6863,67",3f7286b9-fbcc-4b02-a352-5c9f5efbc2b6
11-05-2026,21:18,11-05-2026,LIMBACH HOLDINGS INC,US53263P1057,Koop 14 @ 76 USD,,USD,"-1064,00",USD,"5447,37",3f7286b9-fbcc-4b02-a352-5c9f5efbc2b6
06-05-2026,17:35,06-05-2026,,,Degiro Cash Sweep Transfer,,USD,"-4844,40",USD,"6511,37",
06-05-2026,17:35,06-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4.844,4 USD",,,,USD,"11355,77",
06-05-2026,17:32,06-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"6865,67",
06-05-2026,17:32,06-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"6863,67",
06-05-2026,16:41,06-05-2026,,,Degiro Cash Sweep Transfer,,USD,"2025,00",USD,"6511,37",
06-05-2026,16:41,06-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2.025 USD,,,,USD,"4486,37",
06-05-2026,16:41,06-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"3267,00",EUR,"6865,67",
06-05-2026,16:41,06-05-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 3.267 EUR,,,,EUR,"3598,67",
06-05-2026,16:01,06-05-2026,META PLATFORMS INC CLASS A,US30303M1027,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"6865,67",c9f19c78-9dcd-4006-9771-539d3236e54d
06-05-2026,16:01,06-05-2026,META PLATFORMS INC CLASS A,US30303M1027,"Verkoop 8 @ 605,55 USD",,USD,"4844,40",USD,"6511,37",c9f19c78-9dcd-4006-9771-539d3236e54d
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Valuta Creditering,"1,1723",USD,"1176,00",USD,"1666,97",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Valuta Debitering,,EUR,"-1003,19",EUR,"6867,67",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Koop 8 @ 147 USD,,USD,"-1176,00",USD,"490,97",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Valuta Creditering,"1,1722",USD,"294,00",USD,"1666,97",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Valuta Debitering,,EUR,"-250,82",EUR,"7870,86",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"8121,68",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:59,06-05-2026,ARISTA NETWORKS INC,US0404132054,Koop 2 @ 147 USD,,USD,"-294,00",USD,"1372,97",8f9a1be3-133b-493e-b6c2-a066f1dcbe89
06-05-2026,15:57,06-05-2026,LIMBACH HOLDINGS INC,US53263P1057,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"8123,68",7f0b1e37-3aef-4784-aa5a-ef92f4b71d43
06-05-2026,15:57,06-05-2026,LIMBACH HOLDINGS INC,US53263P1057,Koop 25 @ 81 USD,,USD,"-2025,00",USD,"1666,97",7f0b1e37-3aef-4784-aa5a-ef92f4b71d43
06-05-2026,15:09,06-05-2026,VANECK URANIUM AND NUCLEAR,IE000M7V94E1,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"8125,68",07906a05-3a3e-4b7b-b105-955e6ce4568c
06-05-2026,15:09,06-05-2026,VANECK URANIUM AND NUCLEAR,IE000M7V94E1,"Koop 37 @ 54,27 EUR",,EUR,"-2007,99",EUR,"8126,68",07906a05-3a3e-4b7b-b105-955e6ce4568c
06-05-2026,10:40,06-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"-18,36",EUR,"10134,67",
06-05-2026,10:40,06-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 18,36 EUR",,,,EUR,"10153,03",
06-05-2026,07:43,05-05-2026,ASML HOLDING NV,NL0010273215,Dividend,,EUR,"21,60",EUR,"10134,67",
06-05-2026,07:43,05-05-2026,ASML HOLDING NV,NL0010273215,Dividendbelasting,,EUR,"-3,24",EUR,"10113,07",
05-05-2026,08:50,05-05-2026,,,Degiro Cash Sweep Transfer,,EUR,"-55,06",EUR,"10116,31",
05-05-2026,08:50,05-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 55,06 EUR",,,,EUR,"10171,37",
05-05-2026,07:13,04-05-2026,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,Dividendbelasting,,EUR,"-9,72",EUR,"10116,31",
05-05-2026,07:13,04-05-2026,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,Dividend,,EUR,"64,78",EUR,"10126,03",
01-05-2026,11:38,01-05-2026,,,Degiro Cash Sweep Transfer,,USD,"-2,91",USD,"3691,97",
01-05-2026,11:38,01-05-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,91 USD",,,,USD,"3694,88",
01-05-2026,07:38,30-04-2026,MARVELL TECHNOLOGY INC,US5738741041,Dividendbelasting,,USD,"-0,51",USD,"3691,97",
01-05-2026,07:38,30-04-2026,MARVELL TECHNOLOGY INC,US5738741041,Dividend,,USD,"3,42",USD,"3692,48",
24-04-2026,18:30,24-04-2026,,,Degiro Cash Sweep Transfer,,USD,"-0,42",USD,"3689,06",
24-04-2026,18:30,24-04-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,42 USD",,,,USD,"3689,48",
24-04-2026,18:22,24-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"4,00",EUR,"10061,25",
24-04-2026,18:22,24-04-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 4 EUR,,,,EUR,"10057,25",
24-04-2026,17:57,24-04-2026,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"10061,25",2ff79905-2876-46a4-9cd1-ca420b479e52
24-04-2026,17:57,24-04-2026,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,Koop 14 @ 442 USD,,USD,"-6188,00",USD,"3689,06",2ff79905-2876-46a4-9cd1-ca420b479e52
24-04-2026,17:55,24-04-2026,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"10063,25",bf1f3982-dc9e-41ab-8e44-67bca611c3a4
24-04-2026,17:55,24-04-2026,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053,"Verkoop 14 @ 442,03 USD",,USD,"6188,42",USD,"9877,06",bf1f3982-dc9e-41ab-8e44-67bca611c3a4
24-04-2026,10:40,24-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"-0,42",EUR,"10065,25",
24-04-2026,10:40,24-04-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,42 EUR",,,,EUR,"10065,67",
24-04-2026,09:03,24-04-2026,,,Inkomsten uit Securities Lending - Maart,,EUR,"0,42",EUR,"10065,25",
16-04-2026,01:43,15-04-2026,,,iDEAL Deposit,,EUR,"5000,00",EUR,"10064,83",
16-04-2026,01:43,15-04-2026,,,Reservation iDEAL,,EUR,"-5000,00",EUR,"5064,83",
15-04-2026,01:21,14-04-2026,,,iDEAL Deposit,,EUR,"5000,00",EUR,"10064,83",
15-04-2026,01:21,14-04-2026,,,Reservation iDEAL,,EUR,"-5000,00",EUR,"5064,83",
14-04-2026,20:30,14-04-2026,,,Reservation iDEAL,,EUR,"5000,00",EUR,"10064,83",
14-04-2026,14:55,14-04-2026,,,Reservation iDEAL,,EUR,"5000,00",EUR,"5064,83",
10-04-2026,17:34,10-04-2026,,,Degiro Cash Sweep Transfer,,USD,"-3686,43",USD,"3688,64",
10-04-2026,17:34,10-04-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3.686,43 USD",,,,USD,"7375,07",
10-04-2026,17:32,10-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"64,83",
10-04-2026,17:32,10-04-2026,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"62,83",
10-04-2026,16:21,10-04-2026,SHOPIFY INC CLASS A,CA82509L1076,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"64,83",af590a7e-8b28-49bd-916e-61d27dabd92f
10-04-2026,16:21,10-04-2026,SHOPIFY INC CLASS A,CA82509L1076,"Verkoop 33 @ 111,71 USD",,USD,"3686,43",USD,"3688,64",af590a7e-8b28-49bd-916e-61d27dabd92f
10-04-2026,00:50,09-04-2026,,,Degiro Cash Sweep Transfer,,USD,"-2,21",USD,"2,21",
10-04-2026,00:50,09-04-2026,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,21 USD",,,,USD,"4,42",
09-04-2026,07:20,09-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"0,07",EUR,"66,83",
09-04-2026,07:20,09-04-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,07 EUR",,,,EUR,"66,76",
09-04-2026,07:09,08-04-2026,LAM RESEARCH CORP,US5128073062,Dividend,,USD,"2,60",USD,"2,21",
09-04-2026,07:09,08-04-2026,LAM RESEARCH CORP,US5128073062,Dividendbelasting,,USD,"-0,39",USD,"-0,39",
09-04-2026,06:31,08-04-2026,,,Valuta Debitering,,EUR,"-0,07",EUR,"66,83",
09-04-2026,06:31,08-04-2026,,,Valuta Creditering,"1,1634",USD,"0,08",USD,"0,00",
08-04-2026,15:07,31-03-2026,,,Rente,,USD,"-0,08",USD,"-0,08",
08-04-2026,03:20,08-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"2933,10",EUR,"66,90",
08-04-2026,03:20,08-04-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 2.933,1 EUR",,,,EUR,"-2866,20",
08-04-2026,01:59,07-04-2026,,,iDEAL Deposit,,EUR,"1000,00",EUR,"66,90",
08-04-2026,01:59,07-04-2026,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-933,10",
08-04-2026,01:56,07-04-2026,,,iDEAL Deposit,,EUR,"1000,00",EUR,"66,90",
08-04-2026,01:56,07-04-2026,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-933,10",
08-04-2026,01:53,07-04-2026,,,iDEAL Deposit,,EUR,"1000,00",EUR,"66,90",
08-04-2026,01:53,07-04-2026,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-933,10",
07-04-2026,13:45,07-04-2026,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,Valuta Creditering,"1,1532",USD,"2231,36",USD,"0,00",fdc82aa4-c249-4481-b942-3ebcd0b4ea4c
07-04-2026,13:45,07-04-2026,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,Valuta Debitering,,EUR,"-1934,91",EUR,"66,90",fdc82aa4-c249-4481-b942-3ebcd0b4ea4c
07-04-2026,13:45,07-04-2026,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"2001,81",fdc82aa4-c249-4481-b942-3ebcd0b4ea4c
07-04-2026,13:45,07-04-2026,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,"Koop 32 @ 69,73 USD",,USD,"-2231,36",USD,"-2231,36",fdc82aa4-c249-4481-b942-3ebcd0b4ea4c
06-04-2026,20:11,31-03-2026,,,Flatex Interest Income,,GBP,"0,00",GBP,"0,00",
06-04-2026,14:46,31-03-2026,,,Flatex Interest Income,,USD,"0,00",USD,"0,00",
06-04-2026,07:13,31-03-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"2004,81",
02-04-2026,17:20,02-04-2026,,,Degiro Cash Sweep Transfer,,EUR,"1444,06",EUR,"2004,81",
02-04-2026,17:20,02-04-2026,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.444,06 EUR",,,,EUR,"560,75",
