12-03-2026,15:49,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,70,"25,0000",USD,"-1750,00",USD,"-1519,62","1,1516","0,00","-2,00","-1521,62",34505b8e-34ee-4914-90a9-ae95a4d60c51
11-03-2026,15:55,APPLIED DIGITAL CORP,US0381692070,NDQ,ARCX,30,"29,0000",USD,"-870,00",USD,"-750,84","1,1587","0,00","-2,00","-752,84",9ad298e7-745e-4467-be3e-a9a6a4576c2a
11-03-2026,15:37,LAM RESEARCH CORP,US5128073062,NDQ,XNAS,5,"219,8500",USD,"-1099,25",USD,"-948,61","1,1588","0,00",,"-948,61",0c330e9a-2b40-4eb6-999f-01bc3a389243
11-03-2026,15:37,LAM RESEARCH CORP,US5128073062,NDQ,XNAS,1,"219,8500",USD,"-219,85",USD,"-189,72","1,1588","0,00","-2,00","-191,72",0c330e9a-2b40-4eb6-999f-01bc3a389243
11-03-2026,15:36,DRAFTKINGS INC CLASS A,US26142V1052,NDQ,XNAS,-8,"24,7300",USD,"197,84",USD,"170,70","1,1590","0,00",,"170,70",97a23ca5-407f-4f84-b9b7-c4dc1d12a4fa
11-03-2026,15:36,DRAFTKINGS INC CLASS A,US26142V1052,NDQ,XNAS,-25,"24,7300",USD,"618,25",USD,"533,43","1,1590","0,00",,"533,43",97a23ca5-407f-4f84-b9b7-c4dc1d12a4fa
11-03-2026,15:36,DRAFTKINGS INC CLASS A,US26142V1052,NDQ,XNAS,-100,"24,7300",USD,"2473,00",USD,"2133,74","1,1590","0,00","-2,00","2131,74",97a23ca5-407f-4f84-b9b7-c4dc1d12a4fa
27-02-2026,21:04,APPLIED DIGITAL CORP,US0381692070,NDQ,CDED,35,"26,5600",USD,"-929,60",USD,"-786,33","1,1822","0,00","-2,00","-788,33",5739703b-0b08-481d-93cf-2dd3daddf2dd
26-02-2026,15:54,LAM RESEARCH CORP,US5128073062,NDQ,ARCX,10,"239,0000",USD,"-2390,00",USD,"-2023,19","1,1813","0,00","-2,00","-2025,19",d3ea4de6-298c-4fdb-8e75-d2f6669d74ff
26-02-2026,15:53,APPLIED DIGITAL CORP,US0381692070,NDQ,CDED,41,"28,7550",USD,"-1178,96",USD,"-998,01","1,1813","0,00","-2,00","-1000,01",06478d7a-5408-462e-8e0c-6e808e368548
12-02-2026,18:24,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-278,"16,1000",USD,"4475,80",USD,"3770,36","1,1871","0,00","-2,00","3768,36",d788d546-54d6-464a-b1bd-e1857bbcbb02
10-02-2026,10:32,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,LSE,XLON,52,"69,7000",USD,"-3624,40",USD,"-3040,88","1,1919","-7,60","-3,00","-3051,48",1bcb3406-79bb-4efe-9397-abbe50c288c3
05-02-2026,16:06,VANECK DEFENSE UCITS ETF,IE000YYE6WK5,LSE,MSEU,70,"67,7700",USD,"-4743,90",USD,"-4019,91","1,1801","0,00","-3,00","-4022,91",c0d9a340-8c59-4f92-89b1-205371b31de3
05-02-2026,15:50,NEBIUS GROUP NV CLASS A,NL0009805522,NDQ,BATS,15,"79,3000",USD,"-1189,50",USD,"-1007,79","1,1803","0,00","-2,00","-1009,79",ef2493bd-9b4a-4261-9300-70b6820bab14
05-02-2026,15:44,COREWEAVE INC CLASS A,US21873S1087,NDQ,ARCX,15,"80,5000",USD,"-1207,50",USD,"-1022,70","1,1807","0,00","-2,00","-1024,70",8f54a016-d8e1-4772-93c7-d94b993ac3b1
02-02-2026,14:47,ADYEN NV,NL0012969182,EAM,MESI,-3,"1243,2000",EUR,"3729,60",EUR,"3729,60",,"0,00","-3,00","3726,60",568a2e82-f91f-4e21-afec-a9427ac70359
29-01-2026,15:47,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-80,"30,2500",USD,"2420,00",USD,"2022,23","1,1967","0,00","-2,00","2020,23",23c31fe4-9475-46c1-8a98-747efdba08ef
21-01-2026,15:36,COREWEAVE INC CLASS A,US21873S1087,NDQ,CDED,7,"90,9900",USD,"-636,93",USD,"-543,18","1,1726","0,00","-2,00","-545,18",91af9781-6096-4776-b28c-cbc861abc04d
21-01-2026,15:35,NEBIUS GROUP NV CLASS A,NL0009805522,NDQ,CDED,15,"97,7000",USD,"-1465,50",USD,"-1249,79","1,1726","0,00","-2,00","-1251,79",30cdc1d5-b19b-47ed-a5a8-4fa20bb17d0e
15-01-2026,19:25,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,JNST,-100,"31,0801",USD,"3108,01",USD,"2676,78","1,1611","0,00","-2,00","2674,78",59b6d90d-a8ee-4661-933e-5297ea326977
13-01-2026,18:36,NEBIUS GROUP NV CLASS A,NL0009805522,NDQ,ARCX,8,"105,0000",USD,"-840,00",USD,"-721,34","1,1645","0,00","-2,00","-723,34",7d604028-7b84-4089-a8b1-ee022450e8c0
07-01-2026,16:34,NEBIUS GROUP NV CLASS A,NL0009805522,NDQ,BATS,25,"98,5000",USD,"-2462,50",USD,"-2106,14","1,1692","0,00","-2,00","-2108,14",634a2f2e-467e-4a33-9b34-f26c559964f2
06-01-2026,17:53,MICROSOFT CORP,US5949181045,NDQ,EDGX,-7,"471,6400",USD,"3301,48",USD,"2824,67","1,1688","0,00","-2,00","2822,67",0d6e118a-3217-4de9-80f5-9af204d8792e
05-01-2026,18:48,COREWEAVE INC CLASS A,US21873S1087,NDQ,SOHO,50,"78,9900",USD,"-3949,50",USD,"-3371,61","1,1714","0,00","-2,00","-3373,61",5602dfd2-7d1e-4534-931f-11f8106a8790
05-01-2026,18:25,PALO ALTO NETWORKS INC,US6974351057,NDQ,EDGX,-18,"183,6000",USD,"3304,80",USD,"2820,04","1,1719","0,00","-2,00","2818,04",987b6811-d162-420a-8961-1c34a51cffaf
03-12-2025,16:30,CROCS INC,US2270461096,NDQ,XNAS,-30,"88,3300",USD,"2649,90",USD,"2271,67","1,1665","0,00","-2,00","2269,67",a405b37c-a780-4131-98a9-e308479f73e7
14-11-2025,11:59,SIEMENS ENERGY AG,DE000ENER6Y0,XET,XETA,-35,"111,5500",EUR,"3904,25",EUR,"3904,25",,"0,00","-4,90","3899,35",434d2f8a-f898-4f2b-b5b1-452ed5dfee80
20-10-2025,15:30,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,40,"51,6600",USD,"-2066,40",USD,"-1773,43","1,1652","0,00","-2,00","-1775,43",43911d3e-4012-4891-8d1a-3c6d28f90578
20-10-2025,14:01,BYD CO LTD,CNE100000296,TDG,XGAT,-150,"11,5200",EUR,"1728,00",EUR,"1728,00",,"0,00","-3,90","1724,10",82ee3dbf-3b96-41a5-8b71-3c28cb7f7857
17-09-2025,18:09,TRADE DESK INC CLASS A,US88339J1051,NDQ,JNST,13,"45,2899",USD,"-588,77",USD,"-497,15","1,1843","-1,24","-2,00","-500,39",718b67cb-062f-45dd-9ab5-4f85fec397a2
15-09-2025,15:51,MARVELL TECHNOLOGY INC,US5738741041,NDQ,CDED,12,"67,0950",USD,"-805,14",USD,"-684,53","1,1762","-1,71","-2,00","-688,24",2e54d2c9-816c-47fa-b61c-a74be33cbaf3
15-09-2025,15:51,TRADE DESK INC CLASS A,US88339J1051,NDQ,XNAS,15,"46,0500",USD,"-690,75",USD,"-587,33","1,1761","-1,47","-2,00","-590,79",385f79be-3778-4844-92d8-38311e39259c
09-09-2025,10:26,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,MIL,ETFP,4,"42,4200",EUR,"-169,68",EUR,"-169,68",,"0,00",,"-169,68",f76a64ce-933e-42de-834d-e4323269c460
09-09-2025,10:07,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,MIL,ETFP,50,"42,4200",EUR,"-2121,00",EUR,"-2121,00",,"0,00",,"-2121,00",f76a64ce-933e-42de-834d-e4323269c460
09-09-2025,10:07,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,MIL,ETFP,46,"42,4200",EUR,"-1951,32",EUR,"-1951,32",,"0,00","-3,00","-1954,32",f76a64ce-933e-42de-834d-e4323269c460
05-09-2025,17:45,MARVELL TECHNOLOGY INC,US5738741041,NDQ,ARCX,20,"63,4500",USD,"-1269,00",USD,"-1079,82","1,1752","-2,70","-2,00","-1084,52",163cb51a-ed19-4b93-9168-ee864d112248
27-08-2025,15:46,CROCS INC,US2270461096,NDQ,XNAS,30,"86,8500",USD,"-2605,50",USD,"-2249,04","1,1585","-5,62","-2,00","-2256,67",0645496a-17b6-4241-a7f5-4a0ccd1cb310
27-08-2025,15:41,MARVELL TECHNOLOGY INC,US5738741041,NDQ,XNAS,25,"74,7300",USD,"-1868,25",USD,"-1612,52","1,1586","-4,03","-2,00","-1618,55",f5fffa6b-085b-45bf-9d94-cf5044d916cf
27-08-2025,15:39,SIEMENS ENERGY AG,DE000ENER6Y0,XET,XETA,20,"91,7800",EUR,"-1835,60",EUR,"-1835,60",,"0,00","-4,90","-1840,50",442438c5-9198-4ed5-b022-a37374195a94
18-07-2025,09:00,EUR/USD,EURUSD......,FX,,-4000,"1,1700",USD,"4680,00",USD,"4000,00","1,1700","0,00",,"4000,00",3f7d1096-8bb9-4e2c-b545-1fe4b53ce287
17-07-2025,17:48,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,50,"51,1900",USD,"-2559,50",USD,"-2206,67","1,1599","-5,52","-2,00","-2214,19",6e11928b-69f8-48be-98b5-27d136090958
16-07-2025,17:34,EUR/USD,EURUSD......,FX,,4000,"1,1700",USD,"-4680,00",USD,"-4000,00","1,1700","0,00","-20,00","-4020,00",3f7d1096-8bb9-4e2c-b545-1fe4b53ce287
20-06-2025,16:52,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,JNST,-40,"62,1200",USD,"2484,80",USD,"2159,38","1,1507","0,00","-2,00","2157,38",57ca143d-f4d1-4fc8-a023-7991f4be9878
20-06-2025,16:12,SAMSARA INC (PRE-REINCORPORATION) CLASS A,US79589L1061,NSY,XNAS,-31,"38,4000",USD,"1190,40",USD,"1033,69","1,1516","0,00",,"1033,69",7ebc150a-3efd-41dc-a999-1cddb593df7a
20-06-2025,16:12,SAMSARA INC (PRE-REINCORPORATION) CLASS A,US79589L1061,NSY,XNAS,-29,"38,4000",USD,"1113,60",USD,"967,00","1,1516","0,00","-2,00","965,00",7ebc150a-3efd-41dc-a999-1cddb593df7a
20-06-2025,16:01,SIEMENS ENERGY AG,DE000ENER6Y0,XET,XETA,-20,"88,0000",EUR,"1760,00",EUR,"1760,00",,"0,00","-4,90","1755,10",5dfd48c4-827d-4ea3-a04c-e5707215fd60
20-06-2025,15:52,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-42,"62,5000",USD,"2625,00",USD,"2279,44","1,1516","0,00",,"2279,44",1a0ff45c-4572-4bb3-8434-de9e5197c2aa
20-06-2025,15:52,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-8,"62,5000",USD,"500,00",USD,"434,18","1,1516","0,00","-2,00","432,18",1a0ff45c-4572-4bb3-8434-de9e5197c2aa
18-06-2025,21:20,CROCS INC,US2270461096,NDQ,XNAS,-25,"100,1500",USD,"2503,75",USD,"2182,50","1,1472","-5,46","-2,00","2175,05",a8029393-67d6-4b18-b76b-8fb46ae2b597
10-06-2025,12:49,BYD CO LTD,CNE100000296,TDG,XGAT,150,"15,6700",EUR,"-2350,50",EUR,"-2350,50",,"0,00","-3,90","-2354,40",c15230a6-5b95-479f-8e0d-23b9fa88a37b
07-05-2025,20:32,ADVANCED MICRO DEVICES INC,US0079031078,NDQ,BATS,-32,"98,0000",USD,"3136,00",USD,"2764,96","1,1342","-6,91","-2,00","2756,05",6549b488-aea4-49bd-9ac4-9c0c2effecb2
14-04-2025,09:45,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,EAM,MESI,5,"87,0000",EUR,"-435,00",EUR,"-435,00",,"0,00",,"-435,00",b2c708d9-40ee-407c-89b2-f5a94145f219
14-04-2025,09:45,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,EAM,XAMS,6,"87,0000",EUR,"-522,00",EUR,"-522,00",,"0,00","-3,00","-525,00",b2c708d9-40ee-407c-89b2-f5a94145f219
11-04-2025,21:53,ADVANCED MICRO DEVICES INC,US0079031078,NDQ,XNAS,12,"93,0000",USD,"-1116,00",USD,"-984,31","1,1338","-2,46","-2,00","-988,77",32392edf-4d8f-47f8-9f1a-bcce4cf5fbe2
11-04-2025,18:33,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-400,"26,5000",USD,"10600,00",USD,"9387,23","1,1292","-23,47",,"9363,77",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-100,"26,5000",USD,"2650,00",USD,"2346,81","1,1292","-5,87",,"2340,94",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,EDGX,-100,"26,5000",USD,"2650,00",USD,"2346,81","1,1292","-5,87","-2,00","2338,94",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:19,TRADE DESK INC CLASS A,US88339J1051,NDQ,XNAS,30,"48,9500",USD,"-1468,50",USD,"-1300,37","1,1293","-3,25","-2,00","-1305,62",ec980b0b-a868-4d9b-b07b-1a0bf8fb2c90
11-04-2025,18:14,CROCS INC,US2270461096,NDQ,EDGX,25,"89,9400",USD,"-2248,50",USD,"-1987,37","1,1314","-4,97","-2,00","-1994,34",a9c3f9c7-d906-4e6b-957c-cae48461e7a7
11-04-2025,18:09,ADVANCED MICRO DEVICES INC,US0079031078,NDQ,CDED,20,"91,5600",USD,"-1831,20",USD,"-1618,54","1,1314","-4,05","-2,00","-1624,58",988a6759-194f-4ce9-92ea-4f78c9072132
11-04-2025,18:08,DRAFTKINGS INC CLASS A,US26142V1052,NDQ,CDED,35,"33,5550",USD,"-1174,42",USD,"-1037,85","1,1316","-2,59","-2,00","-1042,45",1c5dd8aa-83c2-4929-8444-fb7edded97d8
11-04-2025,18:08,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,688,"26,2000",USD,"-18025,60",USD,"-15929,40","1,1316","-39,82",,"-15969,22",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,12,"26,1900",USD,"-314,28",USD,"-277,73","1,1316","-0,69","-2,00","-280,43",787a0498-0d1b-4628-9aee-6e05c2e496fc
31-03-2025,16:08,SHOPIFY INC CLASS A,CA82509L1076,NDQ,,66,"96,6800",USD,"-6380,88",USD,"-5912,52","1,0792","0,00",,"-5912,52",
31-03-2025,16:08,SHOPIFY INC. CLASS A S,CA82509L1076,NSY,,-66,"96,6800",USD,"6380,88",USD,"5912,52","1,0792","0,00",,"5912,52",
19-03-2025,15:30,TRADE DESK INC CLASS A,US88339J1051,NDQ,XNAS,20,"55,0000",USD,"-1100,00",USD,"-1009,27","1,0899","0,00","-2,00","-1011,27",f43d53c4-fb4c-4a7f-b290-39e4e41ef6b9
05-03-2025,15:57,TRADE DESK INC CLASS A,US88339J1051,NDQ,BATS,10,"66,0000",USD,"-660,00",USD,"-613,22","1,0763","-1,53","-2,00","-616,75",625fb43a-e907-4d30-b2a0-af8482ae8175
05-03-2025,15:49,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,40,"38,9300",USD,"-1557,20",USD,"-1447,22","1,0760","-3,62","-2,00","-1452,84",e25d072c-5785-4144-b310-1a836c852dd1
27-02-2025,13:37,AMG CRITICAL MATERIALS NV,NL0000888691,EAM,MESI,-140,"17,2000",EUR,"2408,00",EUR,"2408,00",,"0,00","-3,00","2405,00",28abc40f-9f27-49fb-aa15-106e74ae0916
26-02-2025,15:46,TRADE DESK INC CLASS A,US88339J1051,NDQ,ARCX,30,"74,1600",USD,"-2224,80",USD,"-2120,69","1,0491","-5,30","-2,00","-2127,99",00f3a443-cb10-4724-8cdc-75df54a3116e
21-02-2025,20:43,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNAS,130,"51,0000",USD,"-6630,00",USD,"-6337,22","1,0462","0,00","-2,00","-6339,22",797b5b4f-21c6-4021-a520-19423f3eec65
13-02-2025,19:45,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-95,"55,8350",USD,"5304,32",USD,"5097,37","1,0406","0,00",,"5097,37",08eef7c0-4145-43f2-a771-88edd3b4e6ea
13-02-2025,19:45,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,CDED,-5,"55,8350",USD,"279,18",USD,"268,28","1,0406","0,00","-2,00","266,28",08eef7c0-4145-43f2-a771-88edd3b4e6ea
16-01-2025,11:39,ISHARES CORE S&P 500 UCITS ETF USD (ACC),IE00B5BMR087,EAM,XAMS,9,"615,5900",EUR,"-5540,31",EUR,"-5540,31",,"0,00","-3,00","-5543,31",c91ecdec-e557-41b3-9266-0fc7c6a5b5d3
16-01-2025,11:36,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,EAM,XAMS,-582,"8,8000",EUR,"5121,60",EUR,"5121,60",,"0,00",,"5121,60",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:35,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,EAM,XAMS,-2,"8,8000",EUR,"17,60",EUR,"17,60",,"0,00",,"17,60",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:35,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,EAM,XAMS,-1,"8,8000",EUR,"8,80",EUR,"8,80",,"0,00",,"8,80",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:33,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,EAM,XAMS,-3,"8,8000",EUR,"26,40",EUR,"26,40",,"0,00","-3,00","23,40",e6947e13-6584-43ee-b9b0-681b5dc379f0
20-12-2024,16:45,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,SOHO,18,"26,6972",USD,"-480,55",USD,"-461,76","1,0407","-1,15","-2,00","-464,91",99489d8e-5acd-4622-8afc-de15a2d0febf
